Provider Number,Hospital Name,Address,City,State,ZIP Code,County Name,MORT-30-AMI Achievement Threshold,MORT-30-AMI Benchmark,MORT-30-AMI Baseline Rate,MORT-30-AMI Performance Rate,MORT-30-AMI Achievement Points,MORT-30-AMI Improvement Points,MORT-30-AMI Measure Score,MORT-30-HF Achievement Threshold,MORT-30-HF Benchmark,MORT-30-HF Baseline Rate,MORT-30-HF Performance Rate,MORT-30-HF Achievement Points,MORT-30-HF Improvement Points,MORT-30-HF Measure Score,MORT-30-PN Achievement Threshold,MORT-30-PN Benchmark,MORT-30-PN Baseline Rate,MORT-30-PN Performance Rate,MORT-30-PN Achievement Points,MORT-30-PN Improvement Points,MORT-30-PN Measure Score,COMP-HIP-KNEE Achievement Threshold,COMP-HIP-KNEE Benchmark,COMP-HIP-KNEE Baseline Rate,COMP-HIP-KNEE Performance Rate,COMP-HIP-KNEE Achievement Points,COMP-HIP-KNEE Improvement Points,COMP-HIP-KNEE Measure Score
"010001","SOUTHEAST ALABAMA MEDICAL CENTER","1108 ROSS CLARK CIRCLE","DOTHAN","AL","36301","Houston","0.850671","0.873263","0.850224","0.856752","3 out of 10","2 out of 9","3 out of 10","0.883472","0.908094","0.886265","0.872117","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.876056","0.895938","5 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","0.041251","0.029859","3 out of 10","6 out of 9","6 out of 10"
"010005","MARSHALL MEDICAL CENTER SOUTH","2505 U S HIGHWAY 431 NORTH","BOAZ","AL","35957","Marshall","0.850671","0.873263","0.832021","0.848053","0 out of 10","3 out of 9","3 out of 10","0.883472","0.908094","0.851552","0.854099","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.848498","0.847188","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.028789","0.025025","8 out of 10","6 out of 9","8 out of 10"
"010006","ELIZA COFFEE MEMORIAL HOSPITAL","205 MARENGO STREET","FLORENCE","AL","35631","Lauderdale","0.850671","0.873263","0.814816","0.853581","2 out of 10","6 out of 9","6 out of 10","0.883472","0.908094","0.879925","0.872053","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.844055","0.882309","0 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.031452","0.033121","0 out of 10","0 out of 9","0 out of 10"
"010007","MIZELL MEMORIAL HOSPITAL","702 N MAIN ST","OPP","AL","36467","Covington","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.858267","0.865767","0 out of 10","1 out of 9","1 out of 10","0.882334","0.907906","0.835103","0.847068","0 out of 10","1 out of 9","1 out of 10","0.032229","0.023178","Not Available","0.024637","8 out of 10","Not Available","8 out of 10"
"010011","ST VINCENT'S EAST","50 MEDICAL PARK EAST DRIVE","BIRMINGHAM","AL","35235","Jefferson","0.850671","0.873263","0.836494","0.859425","4 out of 10","6 out of 9","6 out of 10","0.883472","0.908094","0.893521","0.872458","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.824528","0.886898","2 out of 10","7 out of 9","7 out of 10","0.032229","0.023178","0.031780","0.028583","4 out of 10","3 out of 9","4 out of 10"
"010012","DEKALB REGIONAL MEDICAL CENTER","200 MED CENTER DRIVE","FORT PAYNE","AL","35968","DeKalb","0.850671","0.873263","0.837249","0.844917","0 out of 10","2 out of 9","2 out of 10","0.883472","0.908094","0.842025","0.864582","0 out of 10","3 out of 9","3 out of 10","0.882334","0.907906","0.842043","0.840163","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.032224","Not Available","Not Available","Not Available","Not Available"
"010016","SHELBY BAPTIST MEDICAL CENTER","1000 FIRST STREET NORTH","ALABASTER","AL","35007","Shelby","0.850671","0.873263","0.858075","0.841463","0 out of 10","0 out of 9","0 out of 10","0.883472","0.908094","0.866983","0.866485","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.868249","0.902278","8 out of 10","8 out of 9","8 out of 10","0.032229","0.023178","0.035432","0.020767","10 out of 10","9 out of 9","10 out of 10"
"010019","HELEN KELLER MEMORIAL HOSPITAL","1300 SOUTH MONTGOMERY AVENUE","SHEFFIELD","AL","35660","Colbert","0.850671","0.873263","0.832176","0.860040","4 out of 10","6 out of 9","6 out of 10","0.883472","0.908094","0.876391","0.853913","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.844695","0.905607","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.023892","0.020875","10 out of 10","9 out of 9","10 out of 10"
"010021","DALE MEDICAL CENTER","126 HOSPITAL AVE","OZARK","AL","36360","Dale","0.850671","0.873263","0.834331","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.884137","0.873088","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.889276","0.894960","5 out of 10","3 out of 9","5 out of 10","0.032229","0.023178","0.034457","Not Available","Not Available","Not Available","Not Available"
"010022","FLOYD CHEROKEE MEDICAL CENTER","400 NORTHWOOD DR","CENTRE","AL","35960","Cherokee","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.885691","0.874461","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.860635","0.889360","3 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010023","BAPTIST MEDICAL CENTER SOUTH","2105 EAST SOUTH BOULEVARD","MONTGOMERY","AL","36116","Montgomery","0.850671","0.873263","0.819700","0.868692","8 out of 10","9 out of 9","9 out of 10","0.883472","0.908094","0.894534","0.875468","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.858401","0.865034","0 out of 10","1 out of 9","1 out of 10","0.032229","0.023178","0.023424","0.023422","9 out of 10","0 out of 9","9 out of 10"
"010024","JACKSON HOSPITAL & CLINIC INC","1725 PINE STREET","MONTGOMERY","AL","36106","Montgomery","0.850671","0.873263","0.830213","0.861210","5 out of 10","7 out of 9","7 out of 10","0.883472","0.908094","0.891887","0.867242","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.836713","0.865547","0 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","0.030685","0.022140","10 out of 10","9 out of 9","10 out of 10"
"010029","EAST ALABAMA MEDICAL CENTER","2000 PEPPERELL PARKWAY","OPELIKA","AL","36801","Lee","0.850671","0.873263","0.831212","0.825351","0 out of 10","0 out of 9","0 out of 10","0.883472","0.908094","0.886558","0.868130","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.872492","0.892672","4 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.036743","0.032913","0 out of 10","2 out of 9","2 out of 10"
"010033","UNIVERSITY OF ALABAMA HOSPITAL","619 SOUTH 19TH STREET","BIRMINGHAM","AL","35233","Jefferson","0.850671","0.873263","0.844547","0.880580","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.876369","0.908331","10 out of 10","9 out of 9","10 out of 10","0.882334","0.907906","0.875566","0.901886","7 out of 10","8 out of 9","8 out of 10","0.032229","0.023178","0.041410","0.025776","7 out of 10","8 out of 9","8 out of 10"
"010034","COMMUNITY HOSPITAL INC","805 FRIENDSHIP ROAD","TALLASSEE","AL","36078","Elmore","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.875790","0.900715","7 out of 10","7 out of 9","7 out of 10","0.882334","0.907906","0.884997","0.910028","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010035","CULLMAN REGIONAL MEDICAL CENTER","1912 ALABAMA HIGHWAY 157","CULLMAN","AL","35058","Cullman","0.850671","0.873263","0.843046","0.856160","3 out of 10","4 out of 9","4 out of 10","0.883472","0.908094","0.860653","0.873634","0 out of 10","2 out of 9","2 out of 10","0.882334","0.907906","0.883195","0.887635","2 out of 10","1 out of 9","2 out of 10","0.032229","0.023178","0.031592","0.030810","2 out of 10","0 out of 9","2 out of 10"
"010036","ANDALUSIA HEALTH","849 SOUTH THREE NOTCH STREET","ANDALUSIA","AL","36420","Covington","0.850671","0.873263","Not Available","0.873484","10 out of 10","Not Available","10 out of 10","0.883472","0.908094","0.886558","0.904936","8 out of 10","8 out of 9","8 out of 10","0.882334","0.907906","0.884703","0.896309","5 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.032042","0.028138","5 out of 10","4 out of 9","5 out of 10"
"010038","STRINGFELLOW MEMORIAL HOSPITAL","301 EAST 18TH ST","ANNISTON","AL","36201","Calhoun","0.850671","0.873263","0.837662","0.865525","6 out of 10","7 out of 9","7 out of 10","0.883472","0.908094","0.875484","0.873734","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.882106","0.907021","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.034201","0.023476","9 out of 10","9 out of 9","9 out of 10"
"010039","HUNTSVILLE HOSPITAL","101 SIVLEY RD","HUNTSVILLE","AL","35801","Madison","0.850671","0.873263","0.846860","0.861791","5 out of 10","5 out of 9","5 out of 10","0.883472","0.908094","0.874429","0.871959","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.869672","0.883244","1 out of 10","3 out of 9","3 out of 10","0.032229","0.023178","0.026296","0.019171","10 out of 10","9 out of 9","10 out of 10"
"010040","GADSDEN REGIONAL MEDICAL CENTER","1007 GOODYEAR AVENUE","GADSDEN","AL","35903","Etowah","0.850671","0.873263","0.837525","0.869683","8 out of 10","8 out of 9","8 out of 10","0.883472","0.908094","0.888433","0.886138","1 out of 10","0 out of 9","1 out of 10","0.882334","0.907906","0.841902","0.883313","1 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","0.055463","0.035077","0 out of 10","6 out of 9","6 out of 10"
"010044","MARION REGIONAL MEDICAL CENTER","1256 MILITARY STREET SOUTH","HAMILTON","AL","35570","Marion","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.881127","0.898210","6 out of 10","6 out of 9","6 out of 10","0.882334","0.907906","0.916607","0.905721","9 out of 10","0 out of 9","9 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010045","FAYETTE MEDICAL CENTER","1653 TEMPLE AVENUE NORTH","FAYETTE","AL","35555","Fayette","0.850671","0.873263","0.836851","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.889670","0.885784","1 out of 10","0 out of 9","1 out of 10","0.882334","0.907906","0.870399","0.902003","7 out of 10","8 out of 9","8 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010046","RIVERVIEW REGIONAL MEDICAL CENTER","600 SOUTH THIRD STREET","GADSDEN","AL","35901","Etowah","0.850671","0.873263","0.837389","0.877950","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.890151","0.906628","9 out of 10","9 out of 9","9 out of 10","0.882334","0.907906","0.865233","0.911516","10 out of 10","9 out of 9","10 out of 10","0.032229","0.023178","0.038897","0.023664","9 out of 10","9 out of 9","9 out of 10"
"010049","MEDICAL CENTER ENTERPRISE","400 N EDWARDS STREET","ENTERPRISE","AL","36330","Coffee","0.850671","0.873263","0.837441","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.859715","0.861811","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.871294","0.896646","6 out of 10","6 out of 9","6 out of 10","0.032229","0.023178","0.026039","0.023540","9 out of 10","8 out of 9","9 out of 10"
"010055","FLOWERS HOSPITAL","4370 WEST MAIN STREET","DOTHAN","AL","36305","Houston","0.850671","0.873263","0.865670","0.863135","5 out of 10","0 out of 9","5 out of 10","0.883472","0.908094","0.865135","0.853796","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.886265","0.887319","2 out of 10","0 out of 9","2 out of 10","0.032229","0.023178","0.029456","0.028128","5 out of 10","2 out of 9","5 out of 10"
"010056","ST VINCENT'S BIRMINGHAM","810 ST VINCENT'S DRIVE","BIRMINGHAM","AL","35205","Jefferson","0.850671","0.873263","0.847312","0.855841","3 out of 10","3 out of 9","3 out of 10","0.883472","0.908094","0.887908","0.901629","7 out of 10","6 out of 9","7 out of 10","0.882334","0.907906","0.866326","0.906071","9 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","0.029503","0.027843","5 out of 10","2 out of 9","5 out of 10"
"010061","HIGHLANDS MEDICAL CENTER","380 WOODS COVE ROAD","SCOTTSBORO","AL","35768","Jackson","0.850671","0.873263","0.857436","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.868075","0.865998","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.868472","0.888216","3 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","Not Available","0.026114","7 out of 10","Not Available","7 out of 10"
"010062","WIREGRASS MEDICAL CENTER","1200 W MAPLE AVENUE","GENEVA","AL","36340","Geneva","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.875957","0.877347","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.862837","0.904092","8 out of 10","9 out of 9","9 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010065","RUSSELL MEDICAL CENTER","3316 HIGHWAY 280","ALEXANDER CITY","AL","35010","Tallapoosa","0.850671","0.873263","0.831627","0.873893","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.876404","0.875214","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.841634","0.871215","0 out of 10","4 out of 9","4 out of 10","0.032229","0.023178","0.033036","0.026455","6 out of 10","6 out of 9","6 out of 10"
"010069","MEDICAL CENTER BARBOUR","820 W WASHINGTON ST","EUFAULA","AL","36027","Barbour","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.852298","0.888668","2 out of 10","6 out of 9","6 out of 10","0.882334","0.907906","0.848262","0.884029","1 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010073","CLAY COUNTY HOSPITAL","83825 HIGHWAY 9    P O BOX 1270","ASHLAND","AL","36251","Clay","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.856571","0.872687","0 out of 10","3 out of 9","3 out of 10","0.882334","0.907906","0.876327","0.866064","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010078","NORTHEAST ALABAMA REGIONAL MEDICAL CENTER","400 EAST 10TH STREET","ANNISTON","AL","36207","Calhoun","0.850671","0.873263","0.836947","0.882625","10 out of 10","9 out of 9","10 out of 10","0.883472","0.908094","0.892067","0.871758","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.863945","0.887774","2 out of 10","5 out of 9","5 out of 10","0.032229","0.023178","0.038116","0.031735","1 out of 10","4 out of 9","4 out of 10"
"010079","ATHENS LIMESTONE HOSPITAL","700 WEST MARKET STREET","ATHENS","AL","35611","Limestone","0.850671","0.873263","0.851370","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.891546","0.903005","8 out of 10","6 out of 9","8 out of 10","0.882334","0.907906","0.886088","0.870387","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.031965","0.028404","4 out of 10","4 out of 9","4 out of 10"
"010083","SOUTH BALDWIN REGIONAL MEDICAL CENTER","1613 NORTH MCKENZIE STREET","FOLEY","AL","36535","Baldwin","0.850671","0.873263","0.843895","0.856856","3 out of 10","4 out of 9","4 out of 10","0.883472","0.908094","0.859395","0.895461","5 out of 10","7 out of 9","7 out of 10","0.882334","0.907906","0.893941","0.904992","8 out of 10","7 out of 9","8 out of 10","0.032229","0.023178","0.032457","0.024913","8 out of 10","8 out of 9","8 out of 10"
"010085","DECATUR MORGAN HOSPITAL-DECATUR CAMPUS","1201 7TH STREET SE","DECATUR","AL","35601","Morgan","0.850671","0.873263","0.843022","0.867915","7 out of 10","8 out of 9","8 out of 10","0.883472","0.908094","0.877008","0.895958","5 out of 10","6 out of 9","6 out of 10","0.882334","0.907906","0.874817","0.879048","0 out of 10","1 out of 9","1 out of 10","0.032229","0.023178","0.050884","0.025419","7 out of 10","9 out of 9","9 out of 10"
"010086","NORTHWEST MEDICAL CENTER","1530 U S HIGHWAY 43","WINFIELD","AL","35594","Fayette","0.850671","0.873263","0.859125","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.881091","0.857453","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.868009","0.898024","6 out of 10","7 out of 9","7 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010087","UNIVERSITY OF SOUTH ALABAMA MEDICAL CENTER","2451 FILLINGIM STREET","MOBILE","AL","36617","Mobile","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","Not Available","0.880589","0 out of 10","Not Available","0 out of 10","0.882334","0.907906","Not Available","Not Available","Not Available","Not Available","Not Available","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010089","WALKER BAPTIST MEDICAL CENTER","3400 HIGHWAY 78 EAST","JASPER","AL","35502","Walker","0.850671","0.873263","0.843764","0.865263","6 out of 10","7 out of 9","7 out of 10","0.883472","0.908094","0.885650","0.862643","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.888997","0.870783","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.029964","0.024983","8 out of 10","7 out of 9","8 out of 10"
"010090","PROVIDENCE HOSPITAL","6801 AIRPORT BOULEVARD","MOBILE","AL","36608","Mobile","0.850671","0.873263","0.846340","0.837044","0 out of 10","0 out of 9","0 out of 10","0.883472","0.908094","0.864576","0.838017","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.886628","0.896694","6 out of 10","4 out of 9","6 out of 10","0.032229","0.023178","0.032297","0.021976","10 out of 10","9 out of 9","10 out of 10"
"010091","GROVE HILL MEMORIAL HOSPITAL","295 JACKSON HWY S","GROVE HILL","AL","36451","Clarke","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.894501","0.879896","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.884211","0.900566","7 out of 10","6 out of 9","7 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010092","D C H REGIONAL MEDICAL CENTER","809 UNIVERSITY BOULEVARD EAST","TUSCALOOSA","AL","35401","Tuscaloosa","0.850671","0.873263","0.854003","0.865640","6 out of 10","6 out of 9","6 out of 10","0.883472","0.908094","0.872646","0.872219","0 out of 10","0 out of 9","0 out of 10","0.882334","0.907906","0.881733","0.877780","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","0.044512","0.028543","4 out of 10","7 out of 9","7 out of 10"
"010097","ELMORE COMMUNITY HOSPITAL","500 HOSPITAL DRIVE","WETUMPKA","AL","36092","Elmore","0.850671","0.873263","Not Available","Not Available","Not Available","Not Available","Not Available","0.883472","0.908094","0.891870","0.898260","6 out of 10","3 out of 9","6 out of 10","0.882334","0.907906","0.881838","0.903423","8 out of 10","8 out of 9","8 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
"010099","D W MCMILLAN MEMORIAL HOSPITAL","1301 BELLEVILLE AVENUE","BREWTON","AL","36426","Escambia","0.850671","0.873263","0.844178","0.858617","4 out of 10","4 out of 9","4 out of 10","0.883472","0.908094","0.859773","0.883083","0 out of 10","4 out of 9","4 out of 10","0.882334","0.907906","0.856084","0.839908","0 out of 10","0 out of 9","0 out of 10","0.032229","0.023178","Not Available","Not Available","Not Available","Not Available","Not Available"
